         244222054 function calls (244208003 primitive calls) in 83.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28000    0.035    0.000    0.077    0.000 pysam/libcbcf.pyx:2508(keys)
    42000    0.033    0.000    0.033    0.000 pysam/libcbcf.pyx:3266(__get__)
    14214    0.029    0.000    0.029    0.000 {method 'strip' of 'str' objects}
       45    0.028    0.001    0.030    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        2    0.026    0.013    0.355    0.178 {method 'readlines' of '_io._IOBase' objects}
   112000    0.022    0.000    0.040    0.000 pysam/libcbcf.pyx:2469(__iter__)
   112005    0.022    0.000    0.022    0.000 pysam/libcbcf.pyx:163(bcf_str_cache_get_charptr)
     5882    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
     5868    0.019    0.000    0.280    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:463(read)
       36    0.018    0.000    0.018    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   188500    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     5868    0.016    0.000    0.301    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/_compression.py:66(readinto)
    28000    0.015    0.000    0.029    0.000 pysam/libcbcf.pyx:2692(get)
        2    0.014    0.007    0.014    0.007 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
    10279    0.014    0.000    0.033    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:86(read)
     4708    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      364    0.013    0.000    0.088    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
    28000    0.013    0.000    0.013    0.000 pysam/libcbcf.pyx:3195(__get__)
        1    0.012    0.012    0.012    0.012 {method 'copy' of 'ImagingCore' objects}
    28000    0.012    0.000    0.016    0.000 pysam/libcbcf.pyx:3308(__get__)
        2    0.011    0.006    0.011    0.006 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.011    0.011    0.013    0.013 pysam/libcbcf.pyx:4239(open)
   154004    0.011    0.000    0.011    0.000 pysam/libcbcf.pyx:1978(__bool__)
     1880    0.011    0.000    0.013    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:296(process)
       15    0.011    0.001    0.011    0.001 {built-in method numpy.zeros}
1925/1181    0.010    0.000    0.010    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
        1    0.009    0.009   83.528   83.528 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:284(__init__)
    28000    0.009    0.000    0.011    0.000 pysam/libcbcf.pyx:3301(__get__)
15327/11489    0.008    0.000    0.017    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:319(stale)
    28000    0.008    0.000    0.086    0.000 {method 'keys' of 'pysam.libcbcf.VariantRecordFormat' objects}
      367    0.007    0.000    0.008    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:462(shape)
     5871    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
     5868    0.007    0.000    0.307    0.000 {method 'read1' of '_io.BufferedReader' objects}
    28000    0.006    0.000    0.013    0.000 pysam/libcbcf.pyx:534(bcf_info_get_value)
     2492    0.006    0.000    0.009    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/font_manager.py:633(__hash__)
    28000    0.006    0.000    0.008    0.000 pysam/libcbcf.pyx:2325(__iter__)
    14000    0.006    0.000    0.007    0.000 pysam/libcbcf.pyx:3294(__get__)
    28000    0.006    0.000    0.035    0.000 {method 'get' of 'pysam.libcbcf.VariantRecordInfo' objects}
14801/14757    0.006    0.000    0.014    0.000 {built-in method builtins.getattr}
      183    0.005    0.000    0.007    0.000 {method 'make_selection' of 'h5py._selector.Selector' objects}
46481/46259    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     5868    0.005    0.000    0.316    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:303(read1)
     5867    0.005    0.000    0.048    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:514(_add_read_data)
        1    0.005    0.005   82.115   82.115 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:998(read_vcf)
      978    0.005    0.000    0.030    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:1180(_update_props)
     9863    0.005    0.000    0.010    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/__init__.py:729(__getitem__)
     6602    0.005    0.000    0.006    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:99(prepend)
  4100/68    0.005    0.000    0.011    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/copy.py:128(deepcopy)
     3084    0.005    0.000    0.012    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/copy.py:66(copy)
    28000    0.004    0.000    0.004    0.000 pysam/libcbcf.pyx:2526(makeVariantRecordFormat)
  772/564    0.004    0.000    0.010    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2444(get_affine)
     1341    0.004    0.000    0.009    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
     5871    0.004    0.000    0.011    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/codecs.py:319(decode)
      783    0.004    0.000    0.007    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1731(normalize_kwargs)
     3115    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2564    0.004    0.000    0.006    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1999(_setattr_cm)
      182    0.004    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:650(resize)
     9864    0.004    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/__init__.py:678(_get)
      296    0.003    0.000    0.091    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:918(get_window_extent)
     2941    0.003    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1772(__init__)
     2294    0.003    0.000    0.011    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
        1    0.003    0.003    0.033    0.033 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:432(<listcomp>)
     5011    0.003    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:110(__init__)
    14000    0.003    0.000    0.003    0.000 pysam/libcbcf.pyx:3171(__get__)
    19887    0.003    0.000    0.003    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:323(closed)
     1372    0.003    0.000    0.009    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/copy.py:259(_reconstruct)
       80    0.003    0.000    0.018    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
       36    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      926    0.003    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
     1490    0.003    0.000    0.007    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1889(__init__)
    28000    0.003    0.000    0.003    0.000 pysam/libcbcf.pyx:2408(__len__)
       64    0.003    0.000    0.091    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axis.py:1257(_update_ticks)
     4041    0.003    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
      797    0.003    0.000    0.042    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
      736    0.003    0.000    0.014    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:430(_read_gzip_header)
    28000    0.003    0.000    0.003    0.000 pysam/libcbcf.pyx:2861(makeVariantRecordInfo)
     5869    0.002    0.000    0.003    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/_compression.py:12(_check_not_closed)
    14000    0.002    0.000    0.005    0.000 pysam/libcbcf.pyx:3064(__get__)
     1421    0.002    0.000    0.003    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/contextlib.py:102(__init__)
      204    0.002    0.000    0.018    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/lines.py:728(draw)
    15331    0.002    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:851(get_animated)
      120    0.002    0.000    0.019    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/lines.py:274(__init__)
      144    0.002    0.000    0.065    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:738(draw)
      276    0.002    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:624(translated)
      290    0.002    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
     1324    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      488    0.002    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2910(_interval_contains_close)
     2940    0.002    0.000    0.004    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:414(_read_exact)
    17989    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      728    0.002    0.000    0.047    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
      735    0.002    0.000    0.005    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/gzip.py:518(_read_eof)
      472    0.002    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1986(rotate)
      108    0.002    0.000    0.008    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/lines.py:656(recache)
       80    0.002    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/ticker.py:778(_set_format)
     1146    0.002    0.000    0.009    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
     1473    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      783    0.002    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1770(<dictcomp>)
      364    0.002    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/selections.py:236(expand_shape)
     9865    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x2b61b6f440d0}
    11736    0.002    0.000    0.002    0.000 {method '__exit__' of 'memoryview' objects}
1324/1323    0.002    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1851(transform_affine)
      952    0.002    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:885(get_siblings)
  362/358    0.002    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1780(__eq__)
        8    0.002    0.000    0.002    0.000 {built-in method io.open_code}
    15339    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     2054    0.002    0.000    0.009    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
3319/3023    0.002    0.000    0.014    0.000 {built-in method builtins.next}
    492/2    0.002    0.000    0.245    0.122 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:54(draw_wrapper)
     1236    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      651    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
        1    0.001    0.001    0.390    0.390 /scrfs/storage/btm002/home/local/src/SNPio/snpio/read_input/genotype_data.py:413(_detect_file_format)
        1    0.001    0.001    0.001    0.001 pysam/libchtslib.pyx:522(_open_htsfile)
     1236    0.001    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/lines.py:1289(set_ydata)
1421/1347    0.001    0.000    0.008    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/contextlib.py:139(__exit__)
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
     5868    0.001    0.000    0.001    0.000 {method 'cast' of 'memoryview' objects}
       41    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      625    0.001    0.000    0.012    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:809(from_extents)
    14000    0.001    0.000    0.001    0.000 pysam/libcbcf.pyx:2392(makeVariantRecordFilter)
      490    0.001    0.000    0.014    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1475(transform)
       70    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/bezier.py:200(__call__)
      182    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:542(chunks)
      438    0.001    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axes/_base.py:844(<dictcomp>)
      869    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:536(dtype)
       64    0.001    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/core/numeric.py:2330(within_tol)
     1015    0.001    0.000    0.005    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
     2294    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
4296/2674    0.001    0.000    0.006    0.000 {built-in method builtins.hash}
      280    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
     1839    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
  492/232    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
   272/68    0.001    0.000    0.010    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/copy.py:227(_deepcopy_dict)
      522    0.001    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2355(__init__)
     6838    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:295(axes)
     2097    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     1862    0.001    0.000    0.014    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:417(pchanged)
     1490    0.001    0.000    0.002    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/enum.py:359(__call__)
      816    0.001    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/lines.py:1268(set_xdata)
       13    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:35(make_new_dset)
      256    0.001    0.000    0.015    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
     2703    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/lib/function_base.py:348(iterable)
      218    0.001    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/backend_bases.py:760(__init__)
     2205    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
       80    0.001    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/ticker.py:705(_compute_offset)
       34    0.001    0.000    0.042    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
      347    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2054(scale)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
1421/1347    0.001    0.000    0.008    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/contextlib.py:130(__enter__)
     1779    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1181    0.001    0.000    0.011    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:157(invalidate)
       80    0.001    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/ticker.py:744(_set_order_of_magnitude)
     1818    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      122    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/numpy/lib/shape_base.py:612(column_stack)
       80    0.001    0.000    0.012    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axis.py:2733(get_tick_space)
     1421    0.001    0.000    0.004    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/contextlib.py:279(helper)
     1251    0.001    0.000    0.003    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/re.py:187(match)
     8677    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.001    0.001    0.001    0.001 pysam/libcbcf.pyx:3809(__dealloc__)
       10    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       98    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2830(nonsingular)
    14000    0.001    0.000    0.001    0.000 pysam/libcbcf.pyx:3150(__get__)
     1321    0.001    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
      364    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/selections.py:275(broadcast)
       28    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      241    0.001    0.000    0.004    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/font_manager.py:590(__init__)
      338    0.001    0.000    0.007    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axis.py:516(update_position)
       64    0.001    0.000    0.019    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axis.py:1486(get_minorticklocs)
    14000    0.001    0.000    0.001    0.000 pysam/libcbcf.pyx:3100(__get__)
     1251    0.001    0.000    0.001    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/re.py:288(_compile)
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     1251    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      183    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/dataset.py:508(_selector)
      108    0.001    0.000    0.009    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/patches.py:742(get_patch_transform)
     1791    0.001    0.000    0.003    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/pyplot.py:872(_auto_draw_if_interactive)
      436    0.001    0.000    0.002    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:1283(_preprocess_math)
     1784    0.001    0.000    0.006    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/figure.py:68(_stale_figure_callback)
    14000    0.001    0.000    0.001    0.000 pysam/libcbcf.pyx:2246(__len__)
        3    0.001    0.000    0.004    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/font_manager.py:1361(_findfont_cached)
 1282/746    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:2413(<lambda>)
       54    0.001    0.000    0.031    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/patches.py:533(_draw_paths_with_artist_properties)
     3159    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/transforms.py:1039(get_points)
  438/426    0.001    0.000    0.007    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/axes/_base.py:841(_unstale_viewLim)
      675    0.001    0.000    0.021    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/artist.py:1227(set)
     1026    0.001    0.000    0.011    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/font_manager.py:894(copy)
      556    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1319(is_math_text)
       70    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/bezier.py:191(__init__)
      134    0.001    0.000    0.010    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
     1236    0.001    0.000    0.001    0.000 /share/apps/python/anaconda-3.11/lib/python3.10/copyreg.py:100(__newobj__)
      183    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/h5py/_hl/selections.py:112(__init__)
      956    0.001    0.000    0.001    0.000 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:836(clean)
    36/22    0.001    0.000    0.016    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
        1    0.001    0.001    0.001    0.001 /home/btm002/local/src/SNPio/.snpio-test/lib/python3.10/site-packages/matplotlib/font_manager.py:1461(_get_font)
